  4.9999999E-03   10.00000    
  1.5000000E-02   10.00000    
  2.4999999E-02   10.00000    
  3.5000000E-02   10.00000    
  4.4999998E-02   10.00000    
  5.5000000E-02   10.00000    
  6.4999998E-02   10.00000    
  7.4999996E-02   10.00000    
  8.5000001E-02   10.00000    
  9.4999999E-02   10.00000    
  0.1050000       10.00000    
  0.1150000       10.00000    
  0.1250000       10.00000    
  0.1350000       10.00000    
  0.1450000       10.00000    
  0.1550000       9.999999    
  0.1650000       9.999999    
  0.1750000       9.999998    
  0.1850000       9.999992    
  0.1950000       9.999950    
  0.2050000       9.999740    
  0.2150000       9.998894    
  0.2250000       9.996099    
  0.2350000       9.988345    
  0.2450000       9.970007    
  0.2550000       9.932558    
  0.2650000       9.865650    
  0.2750000       9.759553    
  0.2850000       9.607872    
  0.2950000       9.409122    
  0.3050000       9.166568    
  0.3150000       8.886782    
  0.3250000       8.577870    
  0.3350000       8.248016    
  0.3450000       7.904604    
  0.3550000       7.553832    
  0.3650000       7.200665    
  0.3750000       6.848937    
  0.3850000       6.501529    
  0.3950000       6.160555    
  0.4050000       5.827509    
  0.4150000       5.503405    
  0.4250000       5.188872    
  0.4350000       4.884227    
  0.4450000       4.589524    
  0.4550000       4.304583    
  0.4650000       4.028997    
  0.4750000       3.762156    
  0.4850000       3.503386    
  0.4950000       3.252976    
  0.5050000       3.027849    
  0.5150000       3.025240    
  0.5250000       3.023793    
  0.5350000       3.024431    
  0.5450000       3.025643    
  0.5550000       3.026256    
  0.5650000       3.026942    
  0.5750000       3.028391    
  0.5850000       3.029579    
  0.5950000       3.029639    
  0.6050000       3.029648    
  0.6150000       3.030799    
  0.6250000       3.032330    
  0.6350000       3.032898    
  0.6450000       3.032785    
  0.6550000       3.033338    
  0.6650000       3.034972    
  0.6750000       3.036716    
  0.6850000       3.037628    
  0.6950000       3.038034    
  0.7050000       3.039212    
  0.7150000       3.041932    
  0.7250000       3.045505    
  0.7350000       3.048748    
  0.7450000       3.051731    
  0.7550000       3.057344    
  0.7650000       3.064777    
  0.7750000       2.789846    
  0.7850000       1.435483    
  0.7950000       1.015557    
  0.8050000       1.000343    
  0.8150000       1.000007    
  0.8250000       1.000000    
  0.8350000       1.000000    
  0.8450000       1.000000    
  0.8550000       1.000000    
  0.8650000       1.000000    
  0.8750000       1.000000    
  0.8850000       1.000000    
  0.8950000       1.000000    
  0.9050000       1.000000    
  0.9150000       1.000000    
  0.9250000       1.000000    
  0.9350000       1.000000    
  0.9450000       1.000000    
  0.9550000       1.000000    
  0.9650000       1.000000    
  0.9750000       1.000000    
  0.9850000       1.000000    
  0.9950000       1.000000    
 
